Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Vol,Ver,Vol%,GesEntf,ProgEntf,Vol,Ver,Vol%,Vol,Ver,Vol%,Vol,Ver,Vol%,Vor,xA,A-xA,WP,1/3,PPA,FlkSr,Fortschr.,Spiele
1,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,21,1998,0.2,65.0,75.0,867,1300.0,530.0,30.0,35.0,857,25.0,30.0,833,10.0,10.0,1000,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,Spiele
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,41.5,50.7,819,888.0,312.8,13.0,15.0,868,20.4,22.8,894,7.79,11.8,658,0.00,0.04,-0.04,0.15,3.68,0.22,0.15,3.16,Spiele
3,Amir Abrashi\Amir-Abrashi,al ALB,MFDF,Freiburg,30,1990,0.7,25.7,31.4,818,421.4,38.6,10.0,12.9,778,12.9,14.3,900,1.43,1.43,1000,0.00,0.00,0.00,0.00,1.43,0.00,0.00,0.00,Spiele
4,Ragnar Ache\Ragnar-Ache,de GER,FWDF,Eint Frankfurt,22,1998,1.1,17.3,31.8,543,207.3,26.4,11.8,19.1,619,4.55,8.18,556,0.00,0.00,,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.91,Spiele
5,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,21,1999,20.6,57.5,66.7,861,949.6,260.3,28.5,31.5,906,23.7,26.3,900,4.27,6.80,629,0.05,0.04,0.00,0.63,4.13,0.92,0.10,4.37,Spiele
6,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,27,1993,5.3,22.6,31.5,719,368.9,89.2,11.5,14.9,772,7.92,9.62,824,2.26,3.77,600,0.57,0.34,0.23,2.26,1.13,1.51,0.19,2.64,Spiele
7,Felix Agu\Felix-Agu,de GER,DFFW,Werder Bremen,20,1999,7.8,26.9,37.1,727,436.3,146.5,15.0,17.4,860,9.49,12.9,733,1.79,4.49,400,0.00,0.05,-0.05,0.38,1.15,0.51,0.38,1.28,Spiele
8,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,38.6,42.9,900,674.6,117.9,16.8,18.6,904,17.1,17.9,960,3.57,4.64,769,0.00,0.00,0.00,0.36,4.29,0.00,0.00,2.50,Spiele
9,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,25,1995,26.1,74.7,80.3,929,1575.7,486.4,22.7,23.9,950,39.4,40.9,963,12.1,14.3,842,0.00,0.00,-0.00,0.08,5.75,0.15,0.00,4.90,Spiele
10,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,45.9,55.8,822,949.6,321.0,14.2,16.1,883,24.2,26.4,917,6.89,11.8,583,0.00,0.03,-0.03,0.15,2.50,0.15,0.00,3.48,Spiele
11,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,28,1992,29.7,64.5,75.8,851,1334.3,428.1,21.0,23.1,912,33.5,36.9,906,9.49,14.1,671,0.13,0.08,0.06,0.84,7.81,1.25,0.13,6.36,Spiele
12,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,27,1992,13.8,17.3,22.8,759,245.9,24.1,10.3,12.8,802,5.14,6.67,772,1.09,1.45,750,0.14,0.05,0.09,0.87,0.87,0.29,0.00,0.72,Spiele
13,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,49.8,61.0,817,1242.2,490.8,7.43,9.17,811,28.4,31.2,911,13.7,19.9,686,0.00,0.01,-0.01,0.14,3.06,0.28,0.07,4.31,Spiele
14,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,23,1996,21.0,45.0,54.4,828,827.1,185.1,20.3,22.4,904,17.7,19.9,890,6.24,10.0,624,0.29,0.14,0.15,1.76,4.29,1.29,0.19,4.67,Spiele
15,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,29,1991,12.5,14.0,19.7,711,199.3,32.0,8.72,11.4,768,4.24,5.92,716,0.72,1.28,563,0.00,0.02,-0.02,0.40,0.88,0.24,0.08,0.72,Spiele
16,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,25,1994,28.1,41.1,52.0,791,773.8,217.7,17.4,20.5,851,17.4,21.1,823,5.44,8.43,646,0.07,0.08,-0.01,0.85,3.95,0.53,0.04,4.45,Spiele
17,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,23,1997,24.0,44.1,62.1,711,807.4,303.3,20.4,23.9,852,17.9,23.4,765,5.25,12.5,420,0.17,0.21,-0.04,2.33,2.83,2.50,1.13,4.63,Spiele
18,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,24,1996,30.1,60.7,68.9,881,1282.0,432.1,16.6,18.3,909,34.5,36.5,943,9.10,12.9,704,0.03,0.01,0.02,0.23,2.26,0.30,0.07,3.12,Spiele
19,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,31,1989,18.5,54.2,62.7,865,981.3,293.2,22.9,25.0,914,24.4,26.6,917,6.00,8.97,669,0.00,0.04,-0.04,0.81,5.95,0.81,0.00,5.57,Spiele
20,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,28,1992,1.0,47.0,55.0,855,915.0,324.0,17.0,21.0,810,25.0,28.0,893,5.00,6.00,833,0.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,Spiele
21,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,26,1994,28.7,46.1,57.6,801,1077.5,304.1,13.3,15.1,880,19.8,22.9,864,12.2,17.8,685,0.21,0.17,0.04,1.74,4.60,0.91,0.10,5.47,Spiele
22,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,19,2000,1.2,22.5,30.0,750,417.5,32.5,10.8,15.0,722,9.17,10.8,846,2.50,3.33,750,0.00,0.00,0.00,0.83,1.67,0.83,0.00,0.83,Spiele
23,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,23,1997,8.5,34.6,41.5,833,646.6,170.6,15.3,16.9,903,13.6,16.0,853,4.82,6.82,707,0.00,0.02,-0.02,0.71,3.41,0.47,0.00,3.06,Spiele
24,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,26,1994,21.7,35.9,53.8,668,665.1,316.2,16.2,18.9,856,14.7,19.3,764,4.70,13.7,343,0.18,0.13,0.06,1.98,2.07,1.34,1.06,3.36,Spiele
25,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,13.8,19.9,691,200.7,34.7,8.28,11.0,753,3.97,5.63,706,0.99,1.66,600,0.13,0.10,0.03,1.32,0.79,0.07,0.00,0.73,Spiele
26,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,18,2002,5.6,24.8,36.3,685,410.7,169.3,12.0,14.8,807,11.1,15.4,721,1.79,4.29,417,0.00,0.09,-0.09,0.54,1.43,0.36,0.00,2.32,Spiele
27,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,22,1997,23.8,28.4,40.4,703,510.8,114.2,15.1,17.5,863,8.24,11.7,703,4.29,8.49,505,0.34,0.26,0.08,2.10,1.05,1.43,0.59,2.39,Spiele
28,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,22,1998,2.0,31.0,44.0,705,641.5,354.0,10.0,13.5,741,14.5,18.0,806,6.00,11.0,545,0.00,0.00,0.00,0.00,2.00,1.00,0.00,6.50,Spiele
29,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,22,1998,29.8,36.8,49.0,750,658.6,206.6,16.5,19.5,847,15.9,20.3,783,3.96,7.08,559,0.23,0.15,0.08,1.44,2.21,1.54,0.57,3.99,Spiele
