Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Ver,Live,Tot,FS,SP,Pressen,W,Fla,EB,Innen,AuÃŸen,Ger.,Boden,Tief,Hoch,Links,Rechts,Kopf,EW,Andere,Vol,Aus,AuÃŸerhalb,Abg,Blocks,Spiele
1,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,21,1998,0.2,75.0,60.0,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.0,20.0,5.00,0.00,60.0,0.00,15.0,0.00,65.0,0.00,0.00,0.00,0.00,Spiele
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,50.7,46.5,4.19,1.25,0.07,5.51,1.69,0.59,0.00,0.00,0.00,0.00,31.8,6.84,12.0,5.00,36.8,3.97,2.94,0.07,41.5,0.22,0.51,0.37,0.74,Spiele
3,Amir Abrashi\Amir-Abrashi,al ALB,MFDF,Freiburg,30,1990,0.7,31.4,31.4,0.00,0.00,0.00,12.9,0.00,0.00,0.00,0.00,0.00,0.00,27.1,2.86,1.43,1.43,28.6,0.00,0.00,0.00,25.7,0.00,0.00,1.43,0.00,Spiele
4,Ragnar Ache\Ragnar-Ache,de GER,FWDF,Eint Frankfurt,22,1998,1.1,31.8,31.8,0.00,0.00,0.00,14.5,0.00,0.00,0.00,0.00,0.00,0.00,13.6,10.0,8.18,2.73,14.5,3.64,0.00,0.00,17.3,0.00,0.00,0.91,3.64,Spiele
5,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,21,1999,20.6,66.7,61.8,4.90,1.12,0.00,8.93,0.44,0.58,0.00,0.00,0.00,0.00,49.8,8.54,8.45,7.43,51.3,2.77,3.79,0.39,57.5,0.05,0.34,1.60,1.36,Spiele
6,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,27,1993,5.3,31.5,30.6,0.94,0.19,0.00,7.17,0.57,1.13,0.00,0.00,0.00,0.00,19.4,6.42,5.66,4.15,22.3,2.64,0.57,0.75,22.6,0.19,1.13,1.13,2.45,Spiele
7,Felix Agu\Felix-Agu,de GER,DFFW,Werder Bremen,20,1999,7.8,37.1,28.6,8.46,0.13,0.00,5.90,0.64,1.28,0.00,0.00,0.00,0.00,21.4,7.44,8.21,6.03,20.4,1.79,8.33,0.00,26.9,0.00,0.64,2.05,1.41,Spiele
8,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,42.9,42.1,0.71,0.71,0.00,10.7,0.36,0.36,0.00,0.00,0.00,0.00,37.1,2.50,3.21,4.29,36.8,1.43,0.00,0.00,38.6,0.00,0.00,0.36,1.43,Spiele
9,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,25,1995,26.1,80.3,78.0,2.34,1.84,0.04,6.40,2.72,0.00,0.00,0.00,0.00,0.00,69.4,4.79,6.17,18.6,57.4,2.84,0.50,0.11,74.7,0.19,0.69,0.88,0.50,Spiele
10,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,55.8,51.2,4.62,2.20,0.00,6.14,0.98,0.53,0.15,0.08,0.00,0.00,42.3,4.17,9.32,7.42,43.5,1.89,2.27,0.00,45.9,0.08,1.74,0.45,0.76,Spiele
11,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,28,1992,29.7,75.8,72.7,3.13,1.68,0.17,6.57,1.52,0.98,0.03,0.00,0.03,0.00,57.9,6.06,11.8,62.9,8.75,2.29,1.35,0.07,64.5,0.37,0.91,1.21,1.18,Spiele
12,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,27,1992,13.8,22.8,21.7,1.16,0.07,0.00,6.01,0.07,0.00,0.00,0.00,0.00,0.00,14.4,5.29,3.12,2.68,16.0,1.59,0.00,1.01,17.3,0.00,0.07,0.65,0.87,Spiele
13,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,61.0,59.3,1.67,1.67,0.00,4.10,1.74,0.14,0.00,0.00,0.00,0.00,44.1,3.06,13.8,54.4,3.19,2.22,0.00,0.14,49.8,0.42,0.76,1.18,0.69,Spiele
14,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,23,1996,21.0,54.4,50.1,4.29,1.67,0.10,8.90,1.10,1.05,2.10,0.67,0.90,0.00,39.4,6.90,8.14,7.05,45.8,0.67,0.38,0.33,45.0,0.19,0.14,1.67,1.14,Spiele
15,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,29,1991,12.5,19.7,17.8,1.84,0.00,0.00,7.44,0.08,0.32,0.00,0.00,0.00,0.00,9.68,5.44,4.56,1.84,10.2,2.08,0.08,1.36,14.0,0.08,0.48,0.40,0.88,Spiele
16,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,25,1994,28.1,52.0,51.0,1.03,0.89,0.07,8.90,1.03,0.28,0.00,0.00,0.00,0.00,34.4,7.51,10.0,11.2,34.7,3.88,0.11,0.43,41.1,0.32,1.03,1.28,1.35,Spiele
17,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,23,1997,24.0,62.1,50.1,12.0,1.92,0.17,6.79,2.17,4.67,2.00,0.75,0.75,0.04,32.3,11.6,18.2,45.8,5.08,2.58,8.04,0.17,44.1,0.38,1.04,1.29,2.54,Spiele
18,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,24,1996,30.1,68.9,65.5,3.36,2.03,0.07,6.88,1.06,0.27,0.00,0.00,0.00,0.00,55.2,5.18,8.50,11.8,52.2,2.06,1.30,0.33,60.7,0.17,0.86,0.90,0.93,Spiele
19,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,31,1989,18.5,62.7,60.2,2.49,2.05,0.22,9.19,1.41,0.11,0.00,0.00,0.00,0.00,47.0,7.19,8.49,7.95,51.1,2.54,0.43,0.22,54.2,0.11,0.65,1.51,1.30,Spiele
20,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,28,1992,1.0,55.0,47.0,8.00,1.00,0.00,12.0,0.00,0.00,0.00,0.00,0.00,0.00,39.0,9.00,7.00,3.00,42.0,3.00,7.00,0.00,47.0,0.00,0.00,1.00,1.00,Spiele
21,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,26,1994,28.7,57.6,48.5,9.02,4.95,0.21,8.89,4.22,1.15,3.73,1.78,1.36,0.00,35.4,7.32,14.8,42.3,11.0,2.51,0.31,0.21,46.1,0.21,0.87,0.91,0.91,Spiele
22,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,19,2000,1.2,30.0,28.3,1.67,0.00,0.00,11.7,0.83,0.00,0.00,0.00,0.00,0.00,13.3,10.8,5.83,3.33,15.0,4.17,0.00,1.67,22.5,0.00,0.00,0.83,0.83,Spiele
23,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,23,1997,8.5,41.5,38.6,2.94,2.71,0.12,8.71,1.29,0.35,0.00,0.00,0.00,0.00,29.9,4.35,7.29,7.88,30.2,2.24,0.24,0.35,34.6,0.12,0.82,1.06,0.94,Spiele
24,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,26,1994,21.7,53.8,39.2,14.6,2.53,0.00,6.36,2.35,3.82,3.23,1.06,1.71,0.32,22.4,12.0,19.4,37.1,3.87,2.40,8.85,0.09,35.9,0.28,1.24,1.29,1.84,Spiele
25,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,19.9,19.6,0.33,0.00,0.00,6.62,0.26,0.20,0.00,0.00,0.00,0.00,11.8,5.17,2.98,3.44,12.5,1.32,0.07,1.26,13.8,0.07,0.79,0.66,0.99,Spiele
26,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,18,2002,5.6,36.3,27.3,8.93,0.18,0.00,5.00,0.00,1.96,0.00,0.00,0.00,0.00,17.1,10.4,8.75,3.21,21.1,1.79,8.75,0.00,24.8,0.00,0.89,2.14,1.61,Spiele
27,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,22,1997,23.8,40.4,36.4,3.95,0.46,0.17,7.14,2.77,3.82,2.52,0.67,1.01,0.08,25.0,6.64,8.70,29.8,7.98,1.09,0.88,0.13,28.4,0.21,0.88,1.26,2.23,Spiele
28,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,22,1998,2.0,44.0,35.5,8.50,0.50,0.00,4.00,0.00,1.50,0.00,0.00,0.00,0.00,23.0,8.00,13.0,7.50,28.0,0.50,8.00,0.00,31.0,0.00,0.50,0.50,1.50,Spiele
