Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,Spiele
1,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,21,1998,0.2,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,0.15,015,0.15,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
3,Amir Abrashi\Amir-Abrashi,al ALB,MFDF,Freiburg,30,1990,0.7,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
4,Ragnar Ache\Ragnar-Ache,de GER,FWDF,Eint Frankfurt,22,1998,1.1,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
5,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,21,1999,20.6,1.31,131,1.12,0.00,0.00,0.00,0.15,0.05,0.15,015,0.10,0.00,0.00,0.00,0.00,0.05,Spiele
6,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,27,1993,5.3,4.15,413,2.83,0.19,0.19,0.38,0.57,0.00,1.13,113,0.57,0.00,0.00,0.38,0.19,0.00,Spiele
7,Felix Agu\Felix-Agu,de GER,DFFW,Werder Bremen,20,1999,7.8,0.77,077,0.51,0.00,0.13,0.00,0.13,0.00,0.13,013,0.13,0.00,0.00,0.00,0.00,0.00,Spiele
8,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,0.71,071,0.36,0.00,0.36,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
9,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,25,1995,26.1,0.57,057,0.38,0.04,0.00,0.08,0.04,0.04,0.04,004,0.04,0.00,0.00,0.00,0.00,0.00,Spiele
10,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,0.38,038,0.30,0.08,0.00,0.00,0.00,0.00,0.08,008,0.08,0.00,0.00,0.00,0.00,0.00,Spiele
11,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,28,1992,29.7,1.65,165,1.48,0.03,0.00,0.10,0.00,0.03,0.20,020,0.17,0.03,0.00,0.00,0.00,0.00,Spiele
12,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,27,1992,13.8,1.96,195,1.52,0.00,0.14,0.07,0.22,0.00,0.22,022,0.14,0.00,0.00,0.07,0.00,0.00,Spiele
13,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,0.49,048,0.49,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
14,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,23,1996,21.0,3.38,338,2.29,0.62,0.19,0.29,0.00,0.00,0.52,052,0.38,0.05,0.10,0.00,0.00,0.00,Spiele
15,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,29,1991,12.5,0.96,096,0.56,0.00,0.00,0.24,0.08,0.08,0.24,024,0.08,0.00,0.00,0.08,0.08,0.00,Spiele
16,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,25,1994,28.1,1.96,196,1.49,0.11,0.14,0.04,0.07,0.11,0.28,029,0.21,0.00,0.00,0.00,0.04,0.04,Spiele
17,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,23,1997,24.0,3.83,383,2.58,0.63,0.25,0.25,0.13,0.00,0.25,025,0.17,0.04,0.04,0.00,0.00,0.00,Spiele
18,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,24,1996,30.1,0.93,093,0.73,0.03,0.00,0.03,0.03,0.10,0.17,017,0.13,0.00,0.00,0.00,0.03,0.00,Spiele
19,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,31,1989,18.5,1.68,167,1.57,0.00,0.00,0.00,0.00,0.11,0.05,005,0.05,0.00,0.00,0.00,0.00,0.00,Spiele
20,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,28,1992,1.0,1.00,100,0.00,0.00,0.00,0.00,0.00,1.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
21,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,26,1994,28.7,3.21,320,1.18,1.29,0.07,0.21,0.35,0.10,0.42,042,0.17,0.14,0.03,0.00,0.07,0.00,Spiele
22,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,19,2000,1.2,0.83,080,0.83,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
23,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,23,1997,8.5,1.53,154,1.06,0.00,0.24,0.12,0.12,0.00,0.12,012,0.00,0.00,0.00,0.12,0.00,0.00,Spiele
24,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,26,1994,21.7,2.90,290,1.47,1.20,0.00,0.14,0.05,0.05,0.28,028,0.09,0.18,0.00,0.00,0.00,0.00,Spiele
25,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,2.19,219,1.59,0.00,0.20,0.13,0.20,0.07,0.40,040,0.20,0.00,0.07,0.00,0.13,0.00,Spiele
