Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
1,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,21,1998,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,15.0,0.00,00,0.00,5.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,1.25,0.96,0.74,0.37,0.15,0.59,1.47,400,0.88,10.6,4.71,444,5.96,3.46,1.18,1.91,0.37,0.07,1.54,1.10,2.35,2.43,0.00,Spiele
3,Amir Abrashi\Amir-Abrashi,al ALB,MFDF,Freiburg,30,1990,0.7,2.86,1.43,1.43,0.00,1.43,1.43,1.43,1000,0.00,18.6,1.43,77,8.57,8.57,1.43,4.29,1.43,0.00,2.86,2.86,5.71,0.00,0.00,Spiele
4,Ragnar Ache\Ragnar-Ache,de GER,FWDF,Eint Frankfurt,22,1998,1.1,0.91,0.00,0.00,0.00,0.91,0.00,2.73,00,2.73,26.4,4.55,172,0.91,16.4,9.09,1.82,0.00,0.00,1.82,0.00,0.91,0.91,0.00,Spiele
5,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,21,1999,20.6,2.52,1.50,0.92,1.26,0.34,0.73,1.75,417,1.02,17.6,5.73,326,4.56,9.81,3.20,1.80,0.29,0.00,1.50,1.50,4.03,1.94,0.00,Spiele
6,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,27,1993,5.3,1.51,0.94,0.57,0.57,0.38,0.57,2.08,273,1.51,15.3,2.83,185,3.02,6.23,6.04,0.94,0.00,0.00,0.94,1.32,2.83,0.19,0.00,Spiele
7,Felix Agu\Felix-Agu,de GER,DFFW,Werder Bremen,20,1999,7.8,3.46,2.05,1.54,1.41,0.51,1.67,3.08,542,1.41,23.1,6.15,267,11.0,8.08,3.97,2.05,0.38,0.00,1.67,2.69,6.15,2.95,0.00,Spiele
8,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,0.71,0.36,0.36,0.36,0.00,0.71,1.07,667,0.36,14.6,4.29,293,5.36,8.93,0.36,1.79,0.00,0.00,1.79,1.43,2.14,0.36,0.00,Spiele
9,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,25,1995,26.1,1.76,1.15,1.07,0.50,0.19,0.61,1.23,500,0.61,10.1,3.79,375,5.21,4.14,0.77,1.46,0.42,0.00,1.03,1.46,3.22,4.06,0.04,Spiele
10,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,1.82,0.91,1.14,0.61,0.08,0.68,0.98,692,0.30,13.5,4.85,360,6.06,6.29,1.14,2.95,1.21,0.15,1.74,0.76,2.58,3.33,0.08,Spiele
11,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,28,1992,29.7,1.38,1.01,0.44,0.84,0.10,0.40,1.25,324,0.84,11.6,4.41,379,4.04,5.93,1.68,1.58,0.51,0.00,1.08,1.21,2.59,3.16,0.07,Spiele
12,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,27,1992,13.8,0.58,0.43,0.22,0.22,0.14,0.07,0.29,250,0.22,11.0,3.62,329,0.36,3.33,7.32,0.65,0.14,0.00,0.51,0.22,0.80,0.65,0.00,Spiele
13,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,1.46,0.90,1.04,0.42,0.00,0.35,1.11,313,0.76,9.58,3.54,370,5.83,3.33,0.42,1.60,0.76,0.00,0.83,0.97,2.43,6.94,0.14,Spiele
14,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,23,1996,21.0,0.90,0.62,0.19,0.57,0.14,0.24,1.43,167,1.19,15.3,5.19,339,3.05,8.71,3.57,0.90,0.14,0.00,0.76,0.90,1.81,0.29,0.00,Spiele
15,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,29,1991,12.5,0.40,0.16,0.00,0.24,0.16,0.00,0.48,00,0.48,13.2,3.12,236,0.56,6.48,6.16,0.72,0.16,0.00,0.56,0.24,0.64,0.72,0.00,Spiele
16,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,25,1994,28.1,2.17,1.42,1.03,0.93,0.21,0.57,1.53,372,0.96,18.8,5.84,311,6.16,10.4,2.21,1.46,0.28,0.00,1.17,2.03,4.20,1.10,0.04,Spiele
17,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,23,1997,24.0,1.71,0.75,0.63,0.96,0.13,0.33,1.00,333,0.67,10.9,3.96,364,3.54,4.75,2.58,1.71,0.04,0.00,1.67,1.33,3.04,1.75,0.04,Spiele
